Provinsi,Panlok,PTN,Prodi,Jumlah
Aceh,12,12,121153,41
Aceh,12,12,121161,33
Aceh,12,12,121175,17
Aceh,12,12,122014,93
Aceh,12,12,122022,43
Aceh,12,12,122036,78
Aceh,12,12,122044,86
Aceh,12,12,122052,32
Aceh,12,12,122066,40
Aceh,12,12,122074,37
Aceh,12,12,122082,65
Aceh,12,12,122096,79
Aceh,12,12,122103,40
Aceh,12,12,122111,24
Aceh,12,12,122125,32
Aceh,12,13,131021,1
Aceh,12,13,131043,1
Aceh,12,13,132023,1
Aceh,12,13,132053,1
Aceh,12,13,132075,1
Aceh,12,15,151061,1
Aceh,12,15,151253,1
Aceh,12,15,152106,2
Aceh,12,16,161024,5
Aceh,12,16,161032,2
Aceh,12,16,161046,1
Aceh,12,16,161054,1
Aceh,12,16,161084,1
Aceh,12,16,161092,3
Aceh,12,16,161105,1
Aceh,12,16,161113,2
Aceh,12,16,161121,2
Aceh,12,16,161135,1
Aceh,12,16,161151,2
Aceh,12,16,162012,3
Aceh,12,16,162026,1
Aceh,12,16,162034,3
Aceh,12,16,162042,5
Aceh,12,16,162056,1
Aceh,12,16,162064,3
Aceh,12,16,162086,4
Aceh,12,16,162094,1
Aceh,12,17,171196,1
Aceh,12,17,172243,1
Aceh,12,22,222082,1
Aceh,12,23,231273,1
Aceh,12,29,291013,1
Aceh,12,29,291021,1
Aceh,12,29,291035,2
Aceh,12,29,291043,2
Aceh,12,29,291051,1
Aceh,12,29,292023,4
Aceh,12,29,292031,3
Aceh,12,29,292045,1
Aceh,12,29,292053,3
Aceh,12,29,292083,2
Aceh,12,29,292091,1
Aceh,12,55,552011,1
Aceh,12,61,612035,1
Aceh,12,92,921064,2
Sumatera Utara,14,10,102042,2
Sumatera Utara,14,10,102056,1
Sumatera Utara,14,10,102064,3
Sumatera Utara,14,11,111011,23
Sumatera Utara,14,11,111025,9
Sumatera Utara,14,11,111033,11
Sumatera Utara,14,11,111041,6
Sumatera Utara,14,11,111055,12
Sumatera Utara,14,11,111063,4
Sumatera Utara,14,11,111071,12
Sumatera Utara,14,11,111085,12
Sumatera Utara,14,11,111093,9
Sumatera Utara,14,11,111106,5
Sumatera Utara,14,11,111114,12
Sumatera Utara,14,11,111122,2
Sumatera Utara,14,11,111136,4
Sumatera Utara,14,11,111144,6
Sumatera Utara,14,11,111152,3
Sumatera Utara,14,11,111166,13
Sumatera Utara,14,11,111174,4
Sumatera Utara,14,11,111182,5
Sumatera Utara,14,11,111196,6
Sumatera Utara,14,11,111203,2
Sumatera Utara,14,11,111211,4
Sumatera Utara,14,11,111225,2
Sumatera Utara,14,11,111233,7
Sumatera Utara,14,11,111241,3
Sumatera Utara,14,11,111255,4
Sumatera Utara,14,11,111263,1
Sumatera Utara,14,11,111271,2
Sumatera Utara,14,11,111285,3
Sumatera Utara,14,11,111293,3
Sumatera Utara,14,11,111306,2
Sumatera Utara,14,11,111314,4
Sumatera Utara,14,11,111322,4
Sumatera Utara,14,11,111336,2
Sumatera Utara,14,11,111344,11
Sumatera Utara,14,11,111352,8
Sumatera Utara,14,11,111366,3
Sumatera Utara,14,11,111374,4
Sumatera Utara,14,11,111396,6
Sumatera Utara,14,11,111403,5
Sumatera Utara,14,11,112013,7
Sumatera Utara,14,11,112021,1
Sumatera Utara,14,11,112035,5
Sumatera Utara,14,11,112043,22
Sumatera Utara,14,11,112051,4
Sumatera Utara,14,11,112065,1
Sumatera Utara,14,11,112073,2
Sumatera Utara,14,11,112081,2
Sumatera Utara,14,11,112102,6
Sumatera Utara,14,11,112124,4
Sumatera Utara,14,11,112132,1
Sumatera Utara,14,11,112146,3
Sumatera Utara,14,11,112154,15
Sumatera Utara,14,11,112176,5
Sumatera Utara,14,11,112184,3
Sumatera Utara,14,11,112192,5
Sumatera Utara,14,11,112205,2
Sumatera Utara,14,11,112213,8
Sumatera Utara,14,11,112221,4
Sumatera Utara,14,11,112235,5
Sumatera Utara,14,12,121012,47
Sumatera Utara,14,12,121026,29
Sumatera Utara,14,12,121034,58
Sumatera Utara,14,12,121042,28
Sumatera Utara,14,12,121056,67
Sumatera Utara,14,12,121064,25
Sumatera Utara,14,12,121072,34
Sumatera Utara,14,12,121086,65
Sumatera Utara,14,12,121094,37
Sumatera Utara,14,12,121101,30
Sumatera Utara,14,12,121115,11
Sumatera Utara,14,12,121123,13
Sumatera Utara,14,12,121131,12
Sumatera Utara,14,12,121145,14
Sumatera Utara,14,12,121153,8
Sumatera Utara,14,12,121161,18
Sumatera Utara,14,12,121175,25
Sumatera Utara,14,12,122014,35
Sumatera Utara,14,12,122022,45
Sumatera Utara,14,12,122036,30
Sumatera Utara,14,12,122044,44
Sumatera Utara,14,12,122052,21
Sumatera Utara,14,12,122066,36
Sumatera Utara,14,12,122074,19
Sumatera Utara,14,12,122082,37
Sumatera Utara,14,12,122096,81
Sumatera Utara,14,12,122103,13
Sumatera Utara,14,12,122111,20
Sumatera Utara,14,12,122125,1
Sumatera Utara,14,13,131013,4
Sumatera Utara,14,13,131021,3
Sumatera Utara,14,13,131035,9
Sumatera Utara,14,13,131043,6
Sumatera Utara,14,13,131051,4
Sumatera Utara,14,13,131065,2
Sumatera Utara,14,13,131073,12
Sumatera Utara,14,13,131081,1
Sumatera Utara,14,13,131095,1
Sumatera Utara,14,13,132015,1
Sumatera Utara,14,13,132023,2
Sumatera Utara,14,13,132045,5
Sumatera Utara,14,13,132053,1
Sumatera Utara,14,13,132061,1
Sumatera Utara,14,13,132075,7
Sumatera Utara,14,14,141014,116
Sumatera Utara,14,14,141022,87
Sumatera Utara,14,14,141036,70
Sumatera Utara,14,14,141044,58
Sumatera Utara,14,14,141052,32
Sumatera Utara,14,14,141066,35
Sumatera Utara,14,14,141074,33
Sumatera Utara,14,14,141082,17
Sumatera Utara,14,14,141096,35
Sumatera Utara,14,14,141103,29
Sumatera Utara,14,14,141111,29
Sumatera Utara,14,14,141125,16
Sumatera Utara,14,14,141133,25
Sumatera Utara,14,14,141141,16
Sumatera Utara,14,14,141155,19
Sumatera Utara,14,14,141163,33
Sumatera Utara,14,14,141171,35
Sumatera Utara,14,14,142024,46
Sumatera Utara,14,14,142032,48
Sumatera Utara,14,14,142046,51
Sumatera Utara,14,14,142054,81
Sumatera Utara,14,14,142062,70
Sumatera Utara,14,14,142076,38
Sumatera Utara,14,14,142084,48
Sumatera Utara,14,14,142092,50
Sumatera Utara,14,14,142105,51
Sumatera Utara,14,14,142113,63
Sumatera Utara,14,14,142121,80
Sumatera Utara,14,14,142135,36
Sumatera Utara,14,14,142143,29
Sumatera Utara,14,14,142151,28
Sumatera Utara,14,14,142165,28
Sumatera Utara,14,14,142173,33
Sumatera Utara,14,14,142195,142
Sumatera Utara,14,14,142202,33
Sumatera Utara,14,14,142216,35
Sumatera Utara,14,14,142224,46
Sumatera Utara,14,14,142232,50
Sumatera Utara,14,14,142246,61
Sumatera Utara,14,14,142254,44
Sumatera Utara,14,14,142276,47
Sumatera Utara,14,14,142284,42
Sumatera Utara,14,14,142292,24
Sumatera Utara,14,14,142305,39
Sumatera Utara,14,14,142313,31
Sumatera Utara,14,14,142321,9
Sumatera Utara,14,15,151015,98
Sumatera Utara,14,15,151023,79
Sumatera Utara,14,15,151031,50
Sumatera Utara,14,15,151045,69
Sumatera Utara,14,15,151053,80
Sumatera Utara,14,15,151061,73
Sumatera Utara,14,15,151075,96
Sumatera Utara,14,15,151083,55
Sumatera Utara,14,15,151091,56
Sumatera Utara,14,15,151104,85
Sumatera Utara,14,15,151112,56
Sumatera Utara,14,15,151126,113
Sumatera Utara,14,15,151134,116
Sumatera Utara,14,15,151142,38
Sumatera Utara,14,15,151156,55
Sumatera Utara,14,15,151164,66
Sumatera Utara,14,15,151172,32
Sumatera Utara,14,15,151186,49
Sumatera Utara,14,15,151194,71
Sumatera Utara,14,15,151201,57
Sumatera Utara,14,15,151215,88
Sumatera Utara,14,15,151231,59
Sumatera Utara,14,15,151245,66
Sumatera Utara,14,15,151253,34
Sumatera Utara,14,15,151261,29
Sumatera Utara,14,15,152011,235
Sumatera Utara,14,15,152025,30
Sumatera Utara,14,15,152033,37
Sumatera Utara,14,15,152041,93
Sumatera Utara,14,15,152055,35
Sumatera Utara,14,15,152063,48
Sumatera Utara,14,15,152071,60
Sumatera Utara,14,15,152085,57
Sumatera Utara,14,15,152093,94
Sumatera Utara,14,15,152106,59
Sumatera Utara,14,15,152114,41
Sumatera Utara,14,15,152122,57
Sumatera Utara,14,15,152136,42
Sumatera Utara,14,15,152144,53
Sumatera Utara,14,15,152152,45
Sumatera Utara,14,15,152166,67
Sumatera Utara,14,15,152174,51
Sumatera Utara,14,15,152182,44
Sumatera Utara,14,15,152196,30
Sumatera Utara,14,15,152203,20
Sumatera Utara,14,15,152225,65
Sumatera Utara,14,15,152233,91
Sumatera Utara,14,16,161016,18
Sumatera Utara,14,16,161024,47
Sumatera Utara,14,16,161032,20
Sumatera Utara,14,16,161046,16
Sumatera Utara,14,16,161054,8
Sumatera Utara,14,16,161062,12
Sumatera Utara,14,16,161076,13
Sumatera Utara,14,16,161084,15
Sumatera Utara,14,16,161092,28
Sumatera Utara,14,16,161105,14
Sumatera Utara,14,16,161113,35
Sumatera Utara,14,16,161121,15
Sumatera Utara,14,16,161135,5
Sumatera Utara,14,16,161143,12
Sumatera Utara,14,16,161151,13
Sumatera Utara,14,16,162012,51
Sumatera Utara,14,16,162026,39
Sumatera Utara,14,16,162034,28
Sumatera Utara,14,16,162042,42
Sumatera Utara,14,16,162056,36
Sumatera Utara,14,16,162064,42
Sumatera Utara,14,16,162072,48
Sumatera Utara,14,16,162086,41
Sumatera Utara,14,16,162094,16
Sumatera Utara,14,16,162101,27
Sumatera Utara,14,17,171011,2
Sumatera Utara,14,17,171033,1
Sumatera Utara,14,17,171041,1
Sumatera Utara,14,17,171055,1
Sumatera Utara,14,17,171106,1
Sumatera Utara,14,17,171122,4
Sumatera Utara,14,17,171136,1
Sumatera Utara,14,17,171144,3
Sumatera Utara,14,17,171152,8
Sumatera Utara,14,17,171166,3
Sumatera Utara,14,17,171196,2
Sumatera Utara,14,17,172021,3
Sumatera Utara,14,17,172035,1
Sumatera Utara,14,17,172043,2
Sumatera Utara,14,17,172051,2
Sumatera Utara,14,17,172065,9
Sumatera Utara,14,17,172073,3
Sumatera Utara,14,17,172095,1
Sumatera Utara,14,17,172102,1
Sumatera Utara,14,17,172116,2
Sumatera Utara,14,17,172124,1
Sumatera Utara,14,17,172132,1
Sumatera Utara,14,17,172146,1
Sumatera Utara,14,17,172154,1
Sumatera Utara,14,17,172162,2
Sumatera Utara,14,17,172176,1
Sumatera Utara,14,17,172192,2
Sumatera Utara,14,17,172213,1
Sumatera Utara,14,17,172235,4
Sumatera Utara,14,17,172243,2
Sumatera Utara,14,17,172265,2
Sumatera Utara,14,17,172273,4
Sumatera Utara,14,17,172281,2
Sumatera Utara,14,17,172295,4
Sumatera Utara,14,17,172302,1
Sumatera Utara,14,17,172324,4
Sumatera Utara,14,17,172332,3
Sumatera Utara,14,18,181012,1
Sumatera Utara,14,18,181026,2
Sumatera Utara,14,18,181034,1
Sumatera Utara,14,18,181064,3
Sumatera Utara,14,18,181072,1
Sumatera Utara,14,18,181094,1
Sumatera Utara,14,18,181115,2
Sumatera Utara,14,18,181123,13
Sumatera Utara,14,18,181131,3
Sumatera Utara,14,18,181145,2
Sumatera Utara,14,18,181153,1
Sumatera Utara,14,18,181161,2
Sumatera Utara,14,18,181183,2
Sumatera Utara,14,18,181191,1
Sumatera Utara,14,18,181204,3
Sumatera Utara,14,18,181212,1
Sumatera Utara,14,18,181226,1
Sumatera Utara,14,18,181234,1
Sumatera Utara,14,18,181242,8
Sumatera Utara,14,18,181256,1
Sumatera Utara,14,18,181264,1
Sumatera Utara,14,18,181272,3
Sumatera Utara,14,18,181286,3
Sumatera Utara,14,18,182022,1
Sumatera Utara,14,18,182074,3
Sumatera Utara,14,18,182103,1
Sumatera Utara,14,18,182155,1
Sumatera Utara,14,18,182163,1
Sumatera Utara,14,18,182171,1
Sumatera Utara,14,19,191013,6
Sumatera Utara,14,19,191021,4
Sumatera Utara,14,19,191035,1
Sumatera Utara,14,19,191043,1
Sumatera Utara,14,19,191051,7
Sumatera Utara,14,19,191065,6
Sumatera Utara,14,19,191073,9
Sumatera Utara,14,19,191081,10
Sumatera Utara,14,19,191095,4
Sumatera Utara,14,19,191102,18
Sumatera Utara,14,19,191116,30
Sumatera Utara,14,19,191124,15
Sumatera Utara,14,19,191146,10
Sumatera Utara,14,19,191154,4
Sumatera Utara,14,19,191162,7
Sumatera Utara,14,19,191176,12
Sumatera Utara,14,19,191184,2
Sumatera Utara,14,19,191192,1
Sumatera Utara,14,19,191205,8
Sumatera Utara,14,19,191213,6
Sumatera Utara,14,19,191221,1
Sumatera Utara,14,19,191235,3
Sumatera Utara,14,19,191243,4
Sumatera Utara,14,19,191265,2
Sumatera Utara,14,19,191273,1
Sumatera Utara,14,19,191281,1
Sumatera Utara,14,19,191295,14
Sumatera Utara,14,19,191302,2
Sumatera Utara,14,19,192015,14
Sumatera Utara,14,19,192023,10
Sumatera Utara,14,19,192031,6
Sumatera Utara,14,19,192045,7
Sumatera Utara,14,19,192053,5
Sumatera Utara,14,19,192075,3
Sumatera Utara,14,19,192083,5
Sumatera Utara,14,19,192091,11
Sumatera Utara,14,19,192104,6
Sumatera Utara,14,19,192112,30
Sumatera Utara,14,19,192126,7
Sumatera Utara,14,19,192134,6
Sumatera Utara,14,19,192142,4
Sumatera Utara,14,19,192156,3
Sumatera Utara,14,19,192164,2
Sumatera Utara,14,19,192172,5
Sumatera Utara,14,19,192186,12
Sumatera Utara,14,19,192201,4
Sumatera Utara,14,19,192215,3
Sumatera Utara,14,19,192223,2
Sumatera Utara,14,19,192231,7
Sumatera Utara,14,20,201016,3
Sumatera Utara,14,20,201024,1
Sumatera Utara,14,20,201032,3
Sumatera Utara,14,20,201062,6
Sumatera Utara,14,20,201092,1
Sumatera Utara,14,20,201105,4
Sumatera Utara,14,20,202012,1
Sumatera Utara,14,20,202026,2
Sumatera Utara,14,20,202034,3
Sumatera Utara,14,20,202042,3
Sumatera Utara,14,20,202056,3
Sumatera Utara,14,20,202226,2
Sumatera Utara,14,21,211011,4
Sumatera Utara,14,21,211025,2
Sumatera Utara,14,21,211033,5
Sumatera Utara,14,21,211041,3
Sumatera Utara,14,21,211055,20
Sumatera Utara,14,21,211063,21
Sumatera Utara,14,21,211071,8
Sumatera Utara,14,21,211122,27
Sumatera Utara,14,21,211136,28
Sumatera Utara,14,21,211144,7
Sumatera Utara,14,21,211152,2
Sumatera Utara,14,21,211166,4
Sumatera Utara,14,21,211174,2
Sumatera Utara,14,21,211182,3
Sumatera Utara,14,21,211196,3
Sumatera Utara,14,21,211203,3
Sumatera Utara,14,21,211211,4
Sumatera Utara,14,21,211225,10
Sumatera Utara,14,21,211255,4
Sumatera Utara,14,21,211263,2
Sumatera Utara,14,21,211271,2
Sumatera Utara,14,21,211285,1
Sumatera Utara,14,21,211293,22
Sumatera Utara,14,21,211314,2
Sumatera Utara,14,21,211322,2
Sumatera Utara,14,21,211336,2
Sumatera Utara,14,21,211352,1
Sumatera Utara,14,21,211366,6
Sumatera Utara,14,21,211374,10
Sumatera Utara,14,21,212013,4
Sumatera Utara,14,21,212021,1
Sumatera Utara,14,21,212035,2
Sumatera Utara,14,21,212043,12
Sumatera Utara,14,21,212051,7
Sumatera Utara,14,21,212065,1
Sumatera Utara,14,21,212073,3
Sumatera Utara,14,21,212081,4
Sumatera Utara,14,21,212095,3
Sumatera Utara,14,21,212102,1
Sumatera Utara,14,21,212116,1
Sumatera Utara,14,21,212124,2
Sumatera Utara,14,21,212132,2
Sumatera Utara,14,21,212146,2
Sumatera Utara,14,21,212154,5
Sumatera Utara,14,21,212162,3
Sumatera Utara,14,21,212176,3
Sumatera Utara,14,21,212192,4
Sumatera Utara,14,21,212205,3
Sumatera Utara,14,21,212213,6
Sumatera Utara,14,21,212221,1
Sumatera Utara,14,22,221012,2
Sumatera Utara,14,22,221026,2
Sumatera Utara,14,22,221042,5
Sumatera Utara,14,22,221056,1
Sumatera Utara,14,22,221064,1
Sumatera Utara,14,22,221072,6
Sumatera Utara,14,22,221086,5
Sumatera Utara,14,22,221094,3
Sumatera Utara,14,22,221101,3
Sumatera Utara,14,22,222014,5
Sumatera Utara,14,22,222022,4
Sumatera Utara,14,22,222036,3
Sumatera Utara,14,22,222052,2
Sumatera Utara,14,22,222066,2
Sumatera Utara,14,22,222074,5
Sumatera Utara,14,22,222082,6
Sumatera Utara,14,22,222096,4
Sumatera Utara,14,23,231013,4
Sumatera Utara,14,23,231021,9
Sumatera Utara,14,23,231035,7
Sumatera Utara,14,23,231043,6
Sumatera Utara,14,23,231065,4
Sumatera Utara,14,23,231081,5
Sumatera Utara,14,23,231095,11
Sumatera Utara,14,23,231102,2
Sumatera Utara,14,23,231116,3
Sumatera Utara,14,23,231124,16
Sumatera Utara,14,23,231132,5
Sumatera Utara,14,23,231146,3
Sumatera Utara,14,23,231176,1
Sumatera Utara,14,23,231184,4
Sumatera Utara,14,23,231205,7
Sumatera Utara,14,23,231221,7
Sumatera Utara,14,23,231235,7
Sumatera Utara,14,23,231243,3
Sumatera Utara,14,23,231265,1
Sumatera Utara,14,23,231281,4
Sumatera Utara,14,23,231295,3
Sumatera Utara,14,23,231302,10
Sumatera Utara,14,23,231316,4
Sumatera Utara,14,23,231324,2
Sumatera Utara,14,23,231332,2
Sumatera Utara,14,23,231346,2
Sumatera Utara,14,23,231354,3
Sumatera Utara,14,23,231363,2
Sumatera Utara,14,23,231372,3
Sumatera Utara,14,23,231384,2
Sumatera Utara,14,23,231392,6
Sumatera Utara,14,23,232015,8
Sumatera Utara,14,23,232023,16
Sumatera Utara,14,23,232031,3
Sumatera Utara,14,23,232045,6
Sumatera Utara,14,23,232053,5
Sumatera Utara,14,23,232061,5
Sumatera Utara,14,23,232075,1
Sumatera Utara,14,23,232083,1
Sumatera Utara,14,23,232134,5
Sumatera Utara,14,23,232142,2
Sumatera Utara,14,23,232164,6
Sumatera Utara,14,23,232172,1
Sumatera Utara,14,23,232186,14
Sumatera Utara,14,24,241014,2
Sumatera Utara,14,24,241022,1
Sumatera Utara,14,24,241036,7
Sumatera Utara,14,24,241044,4
Sumatera Utara,14,24,241052,2
Sumatera Utara,14,24,241066,1
Sumatera Utara,14,24,241074,1
Sumatera Utara,14,24,241082,7
Sumatera Utara,14,24,241096,2
Sumatera Utara,14,24,241103,1
Sumatera Utara,14,24,241111,2
Sumatera Utara,14,24,242016,5
